|LEVEL|NAME|EMPID|TYPE|
|7|BIS_CREDIT_PH01B_UREPTPFFUL_CDBZPF_JOB|\\_DWH\\10_DWH\\BIS\\CREDIT\\PH01B_PREPARE\\CREDIT|JOB|
|7|BIS_CREDIT_PH01B_UREPTPFFUL_SDGR_AR_AVY_JOB|\\_DWH\\10_DWH\\BIS\\CREDIT\\PH01B_PREPARE\\CREDIT|JOB|
|7|BIS_CREDIT_PH01B_UREPTPFFUL_SDGR_AR_AVY_SHD_ITM_JOB|\\_DWH\\10_DWH\\BIS\\CREDIT\\PH01B_PREPARE\\CREDIT|JOB|
|7|BIS_CREDIT_PH01B_UREPTPFFUL_SDGR_EV_JOB|\\_DWH\\10_DWH\\BIS\\CREDIT\\PH01B_PREPARE\\CREDIT|JOB|
|7|BIS_CREDIT_PH01B_UREPTPFFUL_SDGR_JOB|\\_DWH\\10_DWH\\BIS\\CREDIT\\PH01B_PREPARE\\CREDIT|JOB|
|7|BIS_CREDIT_PH01B_UREPTPFFUL_SDGR_SEQ|\\_DWH\\10_DWH\\BIS\\CREDIT\\PH01B_PREPARE\\CREDIT|JOB|
|7|BIS_CREDIT_PH01B_UREPTPFFUL_SDSZPF_AR_X_IP_JOB|\\_DWH\\10_DWH\\BIS\\CREDIT\\PH01B_PREPARE\\CREDIT|JOB|
|7|BIS_CREDIT_PH01B_UREPTPFFUL_YDDTRNPF_NEPF_JOB|\\_DWH\\10_DWH\\BIS\\CREDIT\\PH01B_PREPARE\\CREDIT|JOB|
|7|BIS_CREDIT_PH01B_UREPTPFFUL_YDDTRNPF_NEPF_SEQ|\\_DWH\\10_DWH\\BIS\\CREDIT\\PH01B_PREPARE\\CREDIT|JOB|
|7|BIS_CREDIT_PH01B_YDDTRNPF_JOB|\\_DWH\\10_DWH\\BIS\\CREDIT\\PH01B_PREPARE\\CREDIT|JOB|
|7|BIS_CREDIT_PH01B_YDDTRNPF_SEQ|\\_DWH\\10_DWH\\BIS\\CREDIT\\PH01B_PREPARE\\CREDIT|JOB|
|7|BIS_CREDIT_PH01B_YDDTRNPF_YOVHI_JOB|\\_DWH\\10_DWH\\BIS\\CREDIT\\PH01B_PREPARE\\CREDIT|JOB|
|7|BIS_CREDIT_PH01B_YZAEPF_JOB|\\_DWH\\10_DWH\\BIS\\CREDIT\\PH01B_PREPARE\\CREDIT|JOB|
|7|BIS_CREDIT_OFFICER_PH01B_SCEU_JOB|\\_DWH\\10_DWH\\BIS\\CREDIT\\PH01B_PREPARE\\CREDIT_OFFICER|JOB|
|7|BIS_CREDIT_PH01B_UREPTPFFUL_JOB|\\_DWH\\10_DWH\\BIS\\CREDIT\\PH01B_PREPARE\\DELINQUENCY|JOB|
|7|BIS_CREDIT_PH01B_CARPF_VHCL_JOB|\\_DWH\\10_DWH\\BIS\\CREDIT\\PH01B_PREPARE\\PROVISION|JOB|
|7|BIS_CREDIT_PH01B_SEUDDY10_JOB|\\_DWH\\10_DWH\\BIS\\CREDIT\\PH01B_PREPARE\\PROVISION|JOB|
|7|BIS_CREDIT_PH01B_SEUDDY10_SEQ|\\_DWH\\10_DWH\\BIS\\CREDIT\\PH01B_PREPARE\\PROVISION|JOB|
|7|BIS_CREDIT_PH01B_SEUY10_JOB|\\_DWH\\10_DWH\\BIS\\CREDIT\\PH01B_PREPARE\\PROVISION|JOB|
|7|BIS_CREDIT_PH01B_SEUY10_RI_AVY_COLLAT_CHNG_JOB|\\_DWH\\10_DWH\\BIS\\CREDIT\\PH01B_PREPARE\\PROVISION|JOB|
|7|BIS_CREDIT_PH01B_SEUY10_RI_AVY_JOB|\\_DWH\\10_DWH\\BIS\\CREDIT\\PH01B_PREPARE\\PROVISION|JOB|
|7|BIS_CREDIT_PH01B_SEUY10_SEQ|\\_DWH\\10_DWH\\BIS\\CREDIT\\PH01B_PREPARE\\PROVISION|JOB|
|7|BIS_CREDIT_PROVISION_FULL_PH01B_SEUY10_SEZLPF_RI_AVY_JOB|\\_DWH\\10_DWH\\BIS\\CREDIT\\PH01B_PREPARE\\PROVISION|JOB|
|7|BIS_CREDIT_PROVISION_FULL_PH01B_XINSPF_AR_ADL_ATTR_VAL_JOB|\\_DWH\\10_DWH\\BIS\\CREDIT\\PH01B_PREPARE\\PROVISION|JOB|
|7|BIS_CREDIT_PROVISION_FULL_PH01B_XINSPF_AR_JOB|\\_DWH\\10_DWH\\BIS\\CREDIT\\PH01B_PREPARE\\PROVISION|JOB|
|7|BIS_CREDIT_PROVISION_FULL_PH01B_XINSPF_AR_X_AR_JOB|\\_DWH\\10_DWH\\BIS\\CREDIT\\PH01B_PREPARE\\PROVISION|JOB|
|7|BIS_CREDIT_PROVISION_FULL_PH01B_XINSPF_AR_X_AU_INS_JOB|\\_DWH\\10_DWH\\BIS\\CREDIT\\PH01B_PREPARE\\PROVISION|JOB|
|7|BIS_CREDIT_PROVISION_FULL_PH01B_XINSPF_AR_X_AU_PMT_JOB|\\_DWH\\10_DWH\\BIS\\CREDIT\\PH01B_PREPARE\\PROVISION|JOB|
|7|BIS_CREDIT_PROVISION_FULL_PH01B_XINSPF_AR_X_IP_JOB|\\_DWH\\10_DWH\\BIS\\CREDIT\\PH01B_PREPARE\\PROVISION|JOB|
|7|BIS_CREDIT_PROVISION_FULL_PH01B_XINSPF_EV_JOB|\\_DWH\\10_DWH\\BIS\\CREDIT\\PH01B_PREPARE\\PROVISION|JOB|
|7|BIS_CREDIT_PROVISION_FULL_PH01B_XINSPF_INS_AR_HIST_JOB|\\_DWH\\10_DWH\\BIS\\CREDIT\\PH01B_PREPARE\\PROVISION|JOB|
|7|BIS_CREDIT_PROVISION_FULL_PH01B_XINSPF_IP_JOB|\\_DWH\\10_DWH\\BIS\\CREDIT\\PH01B_PREPARE\\PROVISION|JOB|
|7|BIS_CREDIT_PH01B_AR_X_EV_CR_EV_JOIN_JOB|\\_DWH\\10_DWH\\BIS\\CREDIT\\PH01B_PREPARE\\RESTRUCTION|JOB|
|7|BIS_CREDIT_PH01B_AR_X_EV_CR_EV_JOIN_SEQ|\\_DWH\\10_DWH\\BIS\\CREDIT\\PH01B_PREPARE\\RESTRUCTION|JOB|
|7|BIS_CREDIT_PH01B_UREPTPFFUL_AR_X_EV_CR_EV_INC_BEG_JOB|\\_DWH\\10_DWH\\BIS\\CREDIT\\PH01B_PREPARE\\RESTRUCTION|JOB|
|7|BIS_CREDIT_PH01B_UREPTPFFUL_AR_X_EV_CR_EV_INC_BEG_SEQ|\\_DWH\\10_DWH\\BIS\\CREDIT\\PH01B_PREPARE\\RESTRUCTION|JOB|
|7|BIS_CREDIT_PH01B_UREPTPFFUL_AR_X_EV_CR_EV_INC_END_JOB|\\_DWH\\10_DWH\\BIS\\CREDIT\\PH01B_PREPARE\\RESTRUCTION|JOB|
|7|BIS_CREDIT_PH01B_UREPTPFFUL_AR_X_EV_CR_EV_INC_END_SEQ|\\_DWH\\10_DWH\\BIS\\CREDIT\\PH01B_PREPARE\\RESTRUCTION|JOB|
|7|BIS_CREDIT_PH01B_UREPTPFFUL_AR_X_EV_CR_EV_PROB_JOB|\\_DWH\\10_DWH\\BIS\\CREDIT\\PH01B_PREPARE\\RESTRUCTION|JOB|
|7|BIS_CREDIT_PH01B_UREPTPFFUL_AR_X_EV_CR_EV_PROB_SEQ|\\_DWH\\10_DWH\\BIS\\CREDIT\\PH01B_PREPARE\\RESTRUCTION|JOB|
|7|BIS_CREDIT_PH01B_UREPTPFFUL_AR_X_EV_CR_EV_RESTR_BEG_JOB|\\_DWH\\10_DWH\\BIS\\CREDIT\\PH01B_PREPARE\\RESTRUCTION|JOB|
|7|BIS_CREDIT_PH01B_UREPTPFFUL_AR_X_EV_CR_EV_RESTR_BEG_SEQ|\\_DWH\\10_DWH\\BIS\\CREDIT\\PH01B_PREPARE\\RESTRUCTION|JOB|
|7|BIS_CREDIT_PH01B_UREPTPFFUL_AR_X_EV_CR_EV_RESTR_END_JOB|\\_DWH\\10_DWH\\BIS\\CREDIT\\PH01B_PREPARE\\RESTRUCTION|JOB|
|7|BIS_CREDIT_PH01B_UREPTPFFUL_AR_X_EV_CR_EV_RESTR_END_SEQ|\\_DWH\\10_DWH\\BIS\\CREDIT\\PH01B_PREPARE\\RESTRUCTION|JOB|
|7|BIS_CREDIT_PH01B_UREPTPFFUL_AR_X_EV_CR_EV_UNION_JOB|\\_DWH\\10_DWH\\BIS\\CREDIT\\PH01B_PREPARE\\RESTRUCTION|JOB|
|7|BIS_CREDIT_PH01B_UREPTPFFUL_AR_X_EV_CR_EV_UNION_SEQ|\\_DWH\\10_DWH\\BIS\\CREDIT\\PH01B_PREPARE\\RESTRUCTION|JOB|
|6|AUTHORIZATION|\\_DWH\\10_DWH\\BIS\\CREDIT\\PH01C_GET_CHANGES|FOLDER|
|6|CREDIT|\\_DWH\\10_DWH\\BIS\\CREDIT\\PH01C_GET_CHANGES|FOLDER|
|6|CREDIT_OFFICER|\\_DWH\\10_DWH\\BIS\\CREDIT\\PH01C_GET_CHANGES|FOLDER|
|6|DELINQUENCY|\\_DWH\\10_DWH\\BIS\\CREDIT\\PH01C_GET_CHANGES|FOLDER|
|6|PROVISION|\\_DWH\\10_DWH\\BIS\\CREDIT\\PH01C_GET_CHANGES|FOLDER|
|6|RESTRUCTION|\\_DWH\\10_DWH\\BIS\\CREDIT\\PH01C_GET_CHANGES|FOLDER|
|6|A_BIS_CREDIT_FULL_PH01C_GET_CHANGES_SEQ|\\_DWH\\10_DWH\\BIS\\CREDIT\\PH01C_GET_CHANGES|JOB|
|6|BIS_CREDIT_DELINQUENCY_FULL_PH01C_GET_CHANGES_SEQ|\\_DWH\\10_DWH\\BIS\\CREDIT\\PH01C_GET_CHANGES|JOB|
|6|BIS_CREDIT_FULL_PH01C_CREDIT_GET_CHANGES_SEQ|\\_DWH\\10_DWH\\BIS\\CREDIT\\PH01C_GET_CHANGES|JOB|
|6|BIS_CREDIT_FULL_PH01C_CREDIT_OFFICER_GET_CHANGES_SEQ|\\_DWH\\10_DWH\\BIS\\CREDIT\\PH01C_GET_CHANGES|JOB|
|6|BIS_CREDIT_FULL_PH01C_PROVISION_GET_CHANGES_SEQ|\\_DWH\\10_DWH\\BIS\\CREDIT\\PH01C_GET_CHANGES|JOB|
|6|BIS_CREDIT_FULL_PH01C_RESTRUCTION_GET_CHANGES_SEQ|\\_DWH\\10_DWH\\BIS\\CREDIT\\PH01C_GET_CHANGES|JOB|
|7|BIS_CREDIT_AUTH_FULL_PH01C_AC22LF_UREPTPF_YDDTRNPF_JOB|\\_DWH\\10_DWH\\BIS\\CREDIT\\PH01C_GET_CHANGES\\AUTHORIZATION|JOB|
|7|BIS_CREDIT_AUTH_FULL_PH01C_GET_CHANGES_SEQ|\\_DWH\\10_DWH\\BIS\\CREDIT\\PH01C_GET_CHANGES\\AUTHORIZATION|JOB|
|7|BIS_CREDIT_FULL_PH01C_CREDIT_AR_X_BRW_CAT_GRP_JOB|\\_DWH\\10_DWH\\BIS\\CREDIT\\PH01C_GET_CHANGES\\CREDIT|JOB|
|7|BIS_CREDIT_FULL_PH01C_CREDIT_BRW_CAT_GRP_JOB|\\_DWH\\10_DWH\\BIS\\CREDIT\\PH01C_GET_CHANGES\\CREDIT|JOB|
|7|BIS_CREDIT_FULL_PH01C_CREDIT_D9PF_CD_JOB|\\_DWH\\10_DWH\\BIS\\CREDIT\\PH01C_GET_CHANGES\\CREDIT|JOB|
|7|BIS_CREDIT_FULL_PH01C_CREDIT_PTSPF_YDDOPPF_EV_JOB|\\_DWH\\10_DWH\\BIS\\CREDIT\\PH01C_GET_CHANGES\\CREDIT|JOB|
|7|BIS_CREDIT_FULL_PH01C_CREDIT_SPRU_JOB|\\_DWH\\10_DWH\\BIS\\CREDIT\\PH01C_GET_CHANGES\\CREDIT|JOB|
|7|BIS_CREDIT_FULL_PH01C_CREDIT_SPTU_GRP_JOB|\\_DWH\\10_DWH\\BIS\\CREDIT\\PH01C_GET_CHANGES\\CREDIT|JOB|
|7|BIS_CREDIT_FULL_PH01C_CREDIT_SPTU_GRP_SEQ|\\_DWH\\10_DWH\\BIS\\CREDIT\\PH01C_GET_CHANGES\\CREDIT|JOB|
|7|BIS_CREDIT_FULL_PH01C_CREDIT_UPERTPFFUL_SDAD_AR_ADL_ATTR_VAL_JOB|\\_DWH\\10_DWH\\BIS\\CREDIT\\PH01C_GET_CHANGES\\CREDIT|JOB|
|7|BIS_CREDIT_FULL_PH01C_CREDIT_UREPTPFFUL_AR_X_CL_JOB|\\_DWH\\10_DWH\\BIS\\CREDIT\\PH01C_GET_CHANGES\\CREDIT|JOB|
|7|BIS_CREDIT_FULL_PH01C_CREDIT_UREPTPFFUL_ASRVSC10_NBAPF_AR_X_AU_JOB|\\_DWH\\10_DWH\\BIS\\CREDIT\\PH01C_GET_CHANGES\\CREDIT|JOB|
|7|BIS_CREDIT_FULL_PH01C_CREDIT_UREPTPFFUL_EV_OVK_JOB|\\_DWH\\10_DWH\\BIS\\CREDIT\\PH01C_GET_CHANGES\\CREDIT|JOB|
|7|BIS_CREDIT_FULL_PH01C_CREDIT_UREPTPFFUL_SDGR_AR_AVY_JOB|\\_DWH\\10_DWH\\BIS\\CREDIT\\PH01C_GET_CHANGES\\CREDIT|JOB|
